Sequence Name, SI, TI
CFlowerChapelS1IRIS_960x544_24fps_10bit_420.yuv,8.56E+01,1.89E+01
CFlowerChapelS2IRIS_960x544_24fps_10bit_420.yuv,8.53E+01,1.41E+01
CFlyingCountrysideDareful_960x544_29fps_10bit_420.yuv,8.54E+01,2.23E+01
CFlyingMountainsDareful_960x544_29fps_10bit_420.yuv,6.68E+01,1.66E+01
CFlyingThroughLAStreetVidevo_960x544_23fps_10bit_420.yuv,7.78E+01,8.79E+00
CFungusZoomBVITexture_960x544_120fps_10bit_420.yuv,7.35E+01,4.52E+00
CGrassBVITexture_960x544_120fps_10bit_420.yuv,9.58E+01,3.35E+00
CGrazTowerIRIS_960x544_24fps_10bit_420.yuv,9.23E+01,2.28E+01
CHamsterBVIHFR_960x544_120fps_10bit_420.yuv,9.66E+01,1.88E+01
CHarleyDavidsonIRIS_960x544_24fps_10bit_420.yuv,1.01E+02,2.34E+01
CHongKongIslandVidevo_960x544_25fps_10bit_420.yuv,6.11E+01,1.87E+01
CHongKongMarket1Videvo_960x544_25fps_10bit_420.yuv,6.75E+01,1.73E+01
CHongKongMarket2Videvo_960x544_25fps_10bit_420.yuv,7.70E+01,2.18E+01
CHongKongMarket3S1Videvo_960x544_25fps_10bit_420.yuv,7.18E+01,2.10E+01
CHongKongMarket3S2Videvo_960x544_25fps_10bit_420.yuv,7.05E+01,2.59E+01
CHongKongMarket4S1Videvo_960x544_25fps_10bit_420.yuv,7.60E+01,2.10E+01
CHongKongMarket4S2Videvo_960x544_25fps_10bit_420.yuv,7.53E+01,2.58E+01
CHongKongS1Harmonics_960x544_60fps_10bit_420.yuv,7.28E+01,6.55E+00
CHongKongS2Harmonics_960x544_60fps_10bit_420.yuv,7.46E+01,1.24E+01
CHongKongS3Harmonics_960x544_60fps_10bit_420.yuv,9.36E+01,1.02E+01
choppylake22_3840x2160_0.yuv,7.83E+01,3.05E+01
choppylake22_3840x2160_1.yuv,7.82E+01,2.74E+01
choppylake22_3840x2160_2.yuv,7.69E+01,2.97E+01
choppylake22_3840x2160_3.yuv,7.70E+01,2.78E+01
CHorseDrawnCarriagesVidevo_960x544_50fps_10bit_420.yuv,5.87E+01,1.41E+01
CHorseStaringS1Videvo_960x544_50fps_10bit_420.yuv,5.88E+01,2.43E+01
CHorseStaringS2Videvo_960x544_50fps_10bit_420.yuv,5.85E+01,1.40E+01
CJockeyHarmonics_960x544_120fps_10bit_420.yuv,6.98E+01,2.47E+01
CJoggersS1BVIHFR_960x544_120fps_10bit_420.yuv,6.88E+01,2.80E+01
CJoggersS2BVIHFR_960x544_120fps_10bit_420.yuv,7.12E+01,2.41E+01
CKartingIRIS_960x544_24fps_10bit_420.yuv,8.21E+01,4.56E+01
CKoraDrumsVidevo_960x544_25fps_10bit_420.yuv,7.86E+01,3.30E+01
CLakeYonseiUniversity_960x544_30fps_10bit_420.yuv,7.67E+01,1.24E+01
CLampLeavesBVITexture_960x544_120fps_10bit_420.yuv,1.34E+02,1.52E+01
CLaundryHangingOverHongKongVidevo_960x544_25fps_10bit_420.yuv,8.75E+01,2.48E+01
ClayBrickHighSpeedHighGran_300frames_1920x1080.yuv,4.27E+01,9.71E+00
ClayBrickHighSpeedLowGran_300frames_1920x1080.yuv,3.48E+01,1.89E+01
ClayBrickHighSpeedMedGran_300frames_1920x1080.yuv,5.67E+01,1.31E+01
ClayBrickLowSpeedHighGran_300frames_1920x1080.yuv,5.21E+01,9.11E+00
ClayBrickLowSpeedLowGran_300frames_1920x1080.yuv,5.21E+01,2.16E+01
ClayBrickLowSpeedMedGran_300frames_1920x1080.yuv,6.74E+01,1.86E+01
ClayBrickMedSpeedHighGran_300frames_1920x1080.yuv,4.86E+01,9.72E+00
ClayBrickMedSpeedLowGran_300frames_1920x1080.yuv,4.23E+01,2.51E+01
ClayBrickMedSpeedMedGran_300frames_1920x1080.yuv,5.75E+01,1.47E+01
CLeaves1BVITexture_960x544_120fps_10bit_420.yuv,1.31E+02,6.52E+00
CLeaves3BVITexture_960x544_120fps_10bit_420.yuv,1.08E+02,5.14E+00
CLowLevelShotAlongHongKongVidevo_960x544_25fps_10bit_420.yuv,7.29E+01,1.25E+01
CLungshanTempleS1Videvo_960x544_50fps_10bit_420.yuv,6.56E+01,1.50E+01
CLungshanTempleS2Videvo_960x544_50fps_10bit_420.yuv,7.92E+01,1.77E+01
CManMoTempleVidevo_960x544_25fps_10bit_420.yuv,3.95E+01,1.45E+01
CManStandinginProduceTruckVidevo_960x544_25fps_10bit_420.yuv,7.28E+01,2.21E+01
CManWalkingThroughBangkokVidevo_960x544_25fps_10bit_420.yuv,6.72E+01,3.85E+00
CMaplesS1YonseiUniversity_960x544_30fps_10bit_420.yuv,1.52E+02,4.49E+01
CMaplesS2YonseiUniversity_960x544_30fps_10bit_420.yuv,1.35E+02,4.80E+01
CMirabellParkS1IRIS_960x544_24fps_10bit_420.yuv,9.76E+01,2.86E+01
CMirabellParkS2IRIS_960x544_24fps_10bit_420.yuv,8.80E+01,2.69E+01
CMobileHarmonics_960x544_60fps_10bit_420.yuv,1.15E+02,2.55E+01
CMoroccanCeramicsShopVidevo_960x544_50fps_10bit_420.yuv,9.99E+01,1.48E+01
CMoroccanSlippersVidevo_960x544_50fps_10bit_420.yuv,7.92E+01,1.60E+01
CMuralPaintingVidevo_960x544_25fps_10bit_420.yuv,3.99E+01,1.34E+01
CMyanmarS4Harmonics_960x544_60fps_10bit_420.yuv,1.13E+02,6.18E+00
CMyanmarS6Harmonics_960x544_60fps_10bit_420.yuv,8.36E+01,1.88E+01
CMyeongDongVidevo_960x544_25fps_10bit_420.yuv,1.03E+02,2.01E+01
CNewYorkStreetDareful_960x544_30fps_10bit_420.yuv,1.12E+02,7.36E+00
CobbleStoneHighSpeedHighGran_300frames_1920x1080.yuv,4.97E+01,3.07E+01
CobbleStoneHighSpeedLowGran_300frames_1920x1080.yuv,2.97E+01,3.11E+01
CobbleStoneHighSpeedMedGran_300frames_1920x1080.yuv,3.67E+01,3.22E+01
CobbleStoneLowSpeedHighGran_300frames_1920x1080.yuv,5.98E+01,2.09E+01
CobbleStoneLowSpeedLowGran_300frames_1920x1080.yuv,4.44E+01,2.24E+01
CobbleStoneLowSpeedMedGran_300frames_1920x1080.yuv,5.08E+01,2.27E+01
CobbleStoneMedSpeedHighGran_300frames_1920x1080.yuv,5.51E+01,2.74E+01
CobbleStoneMedSpeedLowGran_300frames_1920x1080.yuv,3.70E+01,2.68E+01
CobbleStoneMedSpeedMedGran_300frames_1920x1080.yuv,4.42E+01,2.92E+01
COrangeBuntingoverHongKongVidevo_960x544_25fps_10bit_420.yuv,7.28E+01,1.62E+01
CPaintingTiltingBVITexture_960x544_120fps_10bit_420.yuv,1.86E+02,3.11E+01
CParkViolinMCLJCV_960x544_25fps_10bit_420.yuv,1.06E+02,1.45E+01
CPedestriansSeoulatDawnVidevo_960x544_25fps_10bit_420.yuv,1.02E+02,1.81E+01
CPeopleWalkingS1IRIS_960x544_24fps_10bit_420.yuv,8.99E+01,2.29E+01
CPersonRunningOutsideVidevo_960x544_50fps_10bit_420.yuv,7.07E+01,1.23E+01
CPillowsTransBVITexture_960x544_120fps_10bit_420.yuv,1.25E+02,1.04E+01
CPlasmaFreeBVITexture_960x544_120fps_10bit_420.yuv,7.85E+01,1.45E+01
CPresentsChristmasTreeDareful_960x544_29fps_10bit_420.yuv,6.02E+01,7.59E+00
CReadySetGoS2TampereUniversity_960x544_120fps_10bit_420.yuv,7.77E+01,2.73E+01
CResidentialBuildingSJTU_960x544_60fps_10bit_420.yuv,1.02E+02,1.08E+01
CRollerCoaster2Netflix_960x544_60fps_10bit_420.yuv,6.05E+01,2.68E+01
CRunnersSJTU_960x544_60fps_10bit_420.yuv,9.47E+01,1.75E+01
CRuralSetupIRIS_960x544_24fps_10bit_420.yuv,8.41E+01,2.68E+01
CRuralSetupS2IRIS_960x544_24fps_10bit_420.yuv,6.86E+01,2.62E+01
CScarfSJTU_960x544_60fps_10bit_420.yuv,7.86E+01,2.96E+01
CSeasideWalkIRIS_960x544_24fps_10bit_420.yuv,8.84E+01,1.29E+01
CSeekingMCLV_960x544_25fps_10bit_420.yuv,7.93E+01,4.34E+01
CSeoulCanalatDawnVidevo_960x544_25fps_10bit_420.yuv,5.32E+01,1.43E+01
CSGO_0.yuv,7.50E+01,1.99E+01
CSGO_1.yuv,7.11E+01,5.20E+01
CSGO_10.yuv,7.36E+01,3.65E+01
CSGO_11.yuv,7.08E+01,2.81E+01
CSGO_2.yuv,7.79E+01,5.38E+01
CSGO_3.yuv,7.65E+01,4.51E+01
CSGO_4.yuv,8.18E+01,4.65E+01
CSGO_5.yuv,8.55E+01,3.47E+01
CSGO_6.yuv,8.60E+01,4.59E+01
CSGO_7.yuv,7.07E+01,5.25E+01
CSGO_8.yuv,6.45E+01,7.38E+01
CSGO_9.yuv,6.67E+01,5.03E+01
CShoppingCentreVidevo_960x544_25fps_10bit_420.yuv,8.81E+01,2.51E+01
CSignboardBoatLIVENetFlix_960x544_30fps_10bit_420.yuv,1.10E+02,4.03E+01
CSkyscraperBangkokVidevo_960x544_23fps_10bit_420.yuv,9.17E+01,2.17E+01
CSmokeClearBVITexture_960x544_120fps_10bit_420.yuv,1.99E+01,1.15E+01
CSmokeS45Mitch_960x544_24fps_10bit_420.yuv,3.92E+01,1.48E+00
CSparklerBVIHFR_960x544_120fps_10bit_420.yuv,9.78E+01,5.04E+01
CSquareAndTimelapseHarmonics_960x544_60fps_10bit_420.yuv,9.57E+01,2.45E+01
CSquareS1IRIS_960x544_24fps_10bit_420.yuv,1.16E+02,3.34E+01
CSquareS2IRIS_960x544_24fps_10bit_420.yuv,8.27E+01,2.32E+01
CStreetArtVidevo_960x544_30fps_10bit_420.yuv,1.08E+02,3.41E+01
CStreetDancerS1IRIS_960x544_24fps_10bit_420.yuv,1.09E+02,2.04E+01
CStreetDancerS2IRIS_960x544_24fps_10bit_420.yuv,5.03E+01,2.53E+01
CStreetDancerS3IRIS_960x544_24fps_10bit_420.yuv,5.62E+01,2.57E+01
CStreetDancerS4IRIS_960x544_24fps_10bit_420.yuv,9.13E+01,2.98E+01
CStreetDancerS5IRIS_960x544_24fps_10bit_420.yuv,5.51E+01,2.02E+01
CStreetsOfIndiaS1Harmonics_960x544_60fps_10bit_420.yuv,8.89E+01,1.69E+01
CStreetsOfIndiaS2Harmonics_960x544_60fps_10bit_420.yuv,8.58E+01,1.01E+01
CStreetsOfIndiaS3Harmonics_960x544_60fps_10bit_420.yuv,7.90E+01,2.85E+01
CTaiChiHongKongS1Videvo_960x544_25fps_10bit_420.yuv,6.15E+01,2.22E+01
CTaiChiHongKongS2Videvo_960x544_25fps_10bit_420.yuv,7.21E+01,2.28E+01
CTaipeiCityRooftops8Videvo_960x544_25fps_10bit_420.yuv,1.03E+02,9.30E+00
CTaipeiCityRooftopsS1Videvo_960x544_25fps_10bit_420.yuv,6.24E+01,1.89E+01
CTaipeiCityRooftopsS2Videvo_960x544_25fps_10bit_420.yuv,7.93E+01,1.52E+01
CTaksinBridgeVidevo_960x544_23fps_10bit_420.yuv,7.49E+01,1.18E+01
CTallBuildingsSJTU_960x544_60fps_10bit_420.yuv,8.72E+01,5.45E+00
CTennisMCLV_960x544_24fps_10bit_420.yuv,6.42E+01,2.86E+01
CToddlerFountain2Netflix_960x544_60fps_10bit_420.yuv,8.56E+01,2.79E+01
CTouristsSatOutsideVidevo_960x544_25fps_10bit_420.yuv,6.53E+01,1.01E+01
CToyCalendarHarmonics_960x544_60fps_10bit_420.yuv,7.73E+01,2.20E+01
CTrackingDownHongKongSideVidevo_960x544_25fps_10bit_420.yuv,9.14E+01,1.79E+01
CTrackingPastRestaurantVidevo_960x544_25fps_10bit_420.yuv,6.59E+01,3.60E+01
CTrackingPastStallHongKongVidevo_960x544_25fps_10bit_420.yuv,9.26E+01,2.95E+01
CTraditionalIndonesianKecakVidevo_960x544_25fps_10bit_420.yuv,5.18E+01,2.06E+01
CTrafficandBuildingSJTU_960x544_60fps_10bit_420.yuv,8.65E+01,9.43E+00
CTrafficFlowSJTU_960x544_60fps_10bit_420.yuv,7.90E+01,1.55E+01
CTrafficonTasksinBridgeVidevo_960x544_25fps_10bit_420.yuv,6.85E+01,1.37E+01
CTreeWillsBVITexture_960x544_120fps_10bit_420.yuv,1.45E+02,2.12E+00
CTruckIRIS_960x544_24fps_10bit_420.yuv,8.62E+01,1.73E+01
CTunnelFlagS1Harmonics_960x544_60fps_10bit_420.yuv,1.40E+02,5.45E+01
CUnloadingVegetablesVidevo_960x544_25fps_10bit_420.yuv,7.88E+01,3.09E+01
CVegetableMarketS1LIVENetFlix_960x544_30fps_10bit_420.yuv,7.46E+01,2.04E+01
CVegetableMarketS2LIVENetFlix_960x544_30fps_10bit_420.yuv,7.46E+01,2.15E+01
CVegetableMarketS3LIVENetFlix_960x544_30fps_10bit_420.yuv,5.79E+01,8.03E+00
CVegetableMarketS4LIVENetFlix_960x544_30fps_10bit_420.yuv,7.60E+01,2.95E+01
CVeniceS2Harmonics_960x544_60fps_10bit_420.yuv,8.08E+01,7.55E+00
CVeniceSceneIRIS_960x544_24fps_10bit_420.yuv,1.22E+02,2.88E+01
CWalkingDownKhaoStreetVidevo_960x544_25fps_10bit_420.yuv,6.63E+01,1.89E+01
CWalkingDownNorthRodeoVidevo_960x544_25fps_10bit_420.yuv,9.30E+01,1.57E+01
CWalkingThroughFootbridgeVidevo_960x544_25fps_10bit_420.yuv,8.63E+01,1.72E+01
CWaterS65Mitch_960x544_24fps_10bit_420.yuv,6.09E+01,3.12E+01
CWaterS81Mitch_960x544_24fps_10bit_420.yuv,1.13E+02,2.14E+01
CWatPhoTempleVidevo_960x544_50fps_10bit_420.yuv,6.78E+01,2.27E+01
CWoodSJTU_960x544_60fps_10bit_420.yuv,1.26E+02,2.98E+01
CWovenVidevo_960x544_25fps_10bit_420.yuv,8.90E+01,2.62E+01
DAdvertisingMassagesBangkokVidevo_480x272_25fps_10bit_420.yuv,9.81E+01,1.40E+01
DAmericanFootballS2Harmonics_480x272_60fps_10bit_420.yuv,1.22E+02,1.00E+00
DAmericanFootballS3Harmonics_480x272_60fps_10bit_420.yuv,7.85E+01,1.51E+01
DAmericanFootballS4Harmonics_480x272_60fps_10bit_420.yuv,9.87E+01,1.60E+01
DAnimalsS11Harmonics_480x272_60fps_10bit_420.yuv,1.14E+02,2.49E+01
DAnimalsS1Harmonics_480x272_60fps_10bit_420.yuv,8.01E+01,1.54E+01
DBangkokMarketVidevo_480x272_25fps_10bit_420.yuv,7.00E+01,1.14E+01
DBasketballGoalScoredS1Videvo_480x272_25fps_10bit_420.yuv,8.88E+01,3.99E+01
DBasketballGoalScoredS2Videvo_480x272_25fps_10bit_420.yuv,9.28E+01,3.67E+01
DBasketballS1YonseiUniversity_480x272_30fps_10bit_420.yuv,8.94E+01,2.97E+01
DBasketballS2YonseiUniversity_480x272_30fps_10bit_420.yuv,9.06E+01,1.09E+01
DBasketballS3YonseiUniversity_480x272_30fps_10bit_420.yuv,8.92E+01,1.25E+01
DBoatsChaoPhrayaRiverVidevo_480x272_23fps_10bit_420.yuv,6.57E+01,7.37E+00
DBobbleheadBVIHFR_480x272_120fps_10bit_420.yuv,8.65E+01,2.24E+01
DBookcaseBVITexture_480x272_120fps_10bit_420.yuv,1.54E+02,4.85E+01
DBoxingPracticeHarmonics_480x272_60fps_10bit_420.yuv,1.14E+02,1.47E+01
DBricksBushesStaticBVITexture_480x272_120fps_10bit_420.yuv,1.35E+02,4.49E+00
DBricksLeavesBVITexture_480x272_120fps_10bit_420.yuv,1.59E+02,1.33E+01
DBricksTiltingBVITexture_480x272_120fps_10bit_420.yuv,1.40E+02,9.71E+00
DBubblesPitcherS1BVITexture_480x272_120fps_10bit_420.yuv,3.08E+01,4.82E+00
DBuildingRoofS1IRIS_480x272_24fps_10bit_420.yuv,8.15E+01,1.92E+01
DBuildingRoofS2IRIS_480x272_24fps_10bit_420.yuv,1.18E+02,2.77E+01
DBuildingRoofS3IRIS_480x272_24fps_10bit_420.yuv,9.13E+01,1.46E+01
DBuildingRoofS4IRIS_480x272_24fps_10bit_420.yuv,9.61E+01,2.81E+01
DBuntingHangingAcrossHongKongVidevo_480x272_25fps_10bit_420.yuv,7.65E+01,1.01E+01
DBusyHongKongStreetVidevo_480x272_25fps_10bit_420.yuv,1.12E+02,2.02E+01
DCalmingWaterBVITexture_480x272_120fps_10bit_420.yuv,8.85E+01,2.35E+01
DCarpetPanAverageBVITexture_480x272_120fps_10bit_420.yuv,4.10E+01,1.53E+01
DCatchBVIHFR_480x272_120fps_10bit_420.yuv,1.04E+02,5.91E+00
DCeramicsandSpicesMoroccoVidevo_480x272_50fps_10bit_420.yuv,1.01E+02,8.92E+00
DCharactersYonseiUniversity_480x272_30fps_10bit_420.yuv,1.39E+02,2.96E+01
DChristmasPresentsIRIS_480x272_24fps_10bit_420.yuv,8.81E+01,2.20E+01
DChristmasRoomDareful_480x272_29fps_10bit_420.yuv,1.14E+02,5.40E+00
DChurchInsideMCLJCV_480x272_30fps_10bit_420.yuv,8.58E+01,7.22E+00
DCityScapesS1IRIS_480x272_24fps_10bit_420.yuv,9.91E+01,2.46E+01
DCityScapesS2IRIS_480x272_24fps_10bit_420.yuv,9.67E+01,2.11E+01
DCityScapesS3IRIS_480x272_24fps_10bit_420.yuv,9.50E+01,1.95E+01
DCityStreetS1IRIS_480x272_24fps_10bit_420.yuv,1.14E+02,2.90E+01
DCityStreetS3IRIS_480x272_24fps_10bit_420.yuv,1.37E+02,1.24E+01
DCityStreetS4IRIS_480x272_24fps_10bit_420.yuv,1.02E+02,3.00E+01
DCityStreetS5IRIS_480x272_24fps_10bit_420.yuv,1.13E+02,4.27E+01
DCityStreetS6IRIS_480x272_24fps_10bit_420.yuv,1.20E+02,4.01E+01
DCityStreetS7IRIS_480x272_24fps_10bit_420.yuv,1.06E+02,2.10E+01
DCloseUpBasketballSceneVidevo_480x272_25fps_10bit_420.yuv,1.15E+02,2.12E+01
DCloudsStaticBVITexture_480x272_120fps_10bit_420.yuv,4.04E+01,5.14E-01
DColourfulDecorationWatPhoVidevo_480x272_50fps_10bit_420.yuv,8.71E+01,1.36E+01
DColourfulKoreanLanternsVidevo_480x272_50fps_10bit_420.yuv,8.55E+01,1.53E+01
DColourfulPaperLanternsVidevo_480x272_50fps_10bit_420.yuv,8.78E+01,1.21E+01
DColourfulRugsMoroccoVidevo_480x272_50fps_10bit_420.yuv,9.47E+01,1.51E+01
DConstructionS2YonseiUniversity_480x272_30fps_10bit_420.yuv,1.24E+02,1.63E+01
DCostaRicaS3Harmonics_480x272_60fps_10bit_420.yuv,9.35E+01,5.71E+00
DCrosswalkHarmonics_480x272_60fps_10bit_420.yuv,7.59E+01,1.52E+01
DCrosswalkHongKong2S1Videvo_480x272_25fps_10bit_420.yuv,1.10E+02,2.41E+01
DCrosswalkHongKong2S2Videvo_480x272_25fps_10bit_420.yuv,1.04E+02,2.54E+01
DCrosswalkHongKongVidevo_480x272_25fps_10bit_420.yuv,7.88E+01,2.00E+01
DCrowdRunMCLV_480x272_25fps_10bit_420.yuv,1.07E+02,2.32E+01
DCyclistS1BVIHFR_480x272_120fps_10bit_420.yuv,1.22E+02,2.85E+01
DCyclistVeniceBeachBoardwalkVidevo_480x272_25fps_10bit_420.yuv,8.67E+01,1.43E+01
DDollsScene1YonseiUniversity_480x272_30fps_10bit_420.yuv,7.28E+01,1.51E+01
DDollsScene2YonseiUniversity_480x272_30fps_10bit_420.yuv,8.87E+01,2.58E+01
DDowntownHongKongVidevo_480x272_25fps_10bit_420.yuv,8.77E+01,1.61E+01
DDrivingPOVHarmonics_480x272_60fps_10bit_420.yuv,1.15E+02,1.15E+01
DDropsOnWaterBVITexture_480x272_120fps_10bit_420.yuv,1.11E+02,4.00E+01
degen_Pheonix_0.yuv,3.65E+01,4.26E+01
degen_Pheonix_1_0.yuv,1.15E+02,2.47E+01
degen_Pheonix_1_1.yuv,1.15E+02,1.53E+01
degen_Pheonix_1_2.yuv,1.15E+02,1.46E+01
degen_Pheonix_1_3.yuv,1.15E+02,3.73E+01
degen_Pheonix_10_0.yuv,1.15E+02,2.46E+01
degen_Pheonix_10_1.yuv,1.15E+02,1.42E+01
degen_Pheonix_10_10.yuv,1.14E+02,9.07E+00
degen_Pheonix_10_11.yuv,1.13E+02,1.04E+01
degen_Pheonix_10_12.yuv,1.11E+02,4.08E+01
degen_Pheonix_10_13.yuv,1.11E+02,3.77E+01
degen_Pheonix_10_2.yuv,1.15E+02,9.67E+00
degen_Pheonix_10_3.yuv,1.15E+02,1.21E+01
degen_Pheonix_10_4.yuv,1.15E+02,8.17E+00
degen_Pheonix_10_5.yuv,1.14E+02,4.88E+00
degen_Pheonix_10_6.yuv,1.15E+02,4.29E+00
degen_Pheonix_10_7.yuv,1.15E+02,5.79E+00
degen_Pheonix_10_8.yuv,1.15E+02,6.83E+00
degen_Pheonix_10_9.yuv,1.14E+02,5.24E+00
degen_Pheonix_2_0.yuv,1.45E+02,3.62E+01
degen_Pheonix_2_1.yuv,1.46E+02,3.25E+01
degen_Pheonix_2_2.yuv,1.46E+02,3.32E+01
degen_Pheonix_2_3.yuv,1.46E+02,3.10E+01
degen_Pheonix_2_4.yuv,1.46E+02,3.10E+01
degen_Pheonix_3_0.yuv,9.20E+01,1.61E+01
degen_Pheonix_3_1.yuv,9.19E+01,3.87E+00
degen_Pheonix_3_2.yuv,9.32E+01,1.14E+01
degen_Pheonix_3_3.yuv,9.34E+01,2.65E+01
degen_Pheonix_3_4.yuv,9.27E+01,7.69E+01
degen_Pheonix_5_0.yuv,9.03E+01,3.71E+01
degen_Pheonix_5_1.yuv,7.37E+01,3.68E+01
degen_Pheonix_5_2.yuv,8.39E+01,3.73E+01
degen_Pheonix_6_0.yuv,1.21E+02,4.84E+01
degen_Pheonix_6_1.yuv,1.38E+02,7.18E+01
degen_Pheonix_6_2.yuv,1.27E+02,6.73E+01
degen_Pheonix_6_3.yuv,1.18E+02,5.98E+01
degen_Pheonix_6_4.yuv,1.33E+02,6.97E+01
degen_Pheonix_7_0.yuv,1.09E+02,3.23E+01
degen_Pheonix_7_1.yuv,1.05E+02,2.38E+01
degen_Pheonix_7_2.yuv,1.07E+02,1.99E+01
degen_Pheonix_7_3.yuv,1.09E+02,2.15E+01
degen_Pheonix_7_4.yuv,1.09E+02,3.08E+01
degen_Pheonix_7_5.yuv,1.08E+02,2.71E+01
degen_Pheonix_7_6.yuv,1.07E+02,2.13E+01
degen_Pheonix_7_7.yuv,1.08E+02,2.15E+01
degen_Pheonix_7_8.yuv,1.07E+02,2.05E+01
degen_Pheonix_8_0.yuv,1.37E+02,4.31E+01
degen_Pheonix_8_1.yuv,1.37E+02,4.25E+01
DElFuenteMaskLIVENetFlix_480x272_24fps_10bit_420.yuv,1.28E+02,3.47E+01
DEnteringHongKongStallS1Videvo_480x272_25fps_10bit_420.yuv,8.21E+01,1.71E+01
DEnteringHongKongStallS2Videvo_480x272_25fps_10bit_420.yuv,8.11E+01,2.27E+01
DFerrisWheelTurningVidevo_480x272_50fps_10bit_420.yuv,9.73E+01,2.00E+01
DFireS18Mitch_480x272_24fps_10bit_420.yuv,7.75E+01,5.75E+01
DFireS21Mitch_480x272_24fps_10bit_420.yuv,8.61E+01,6.91E+01
DFireS71Mitch_480x272_24fps_10bit_420.yuv,9.99E+01,5.42E+01
DFirewoodS1IRIS_480x272_24fps_10bit_420.yuv,6.54E+01,1.83E+01
DFirewoodS2IRIS_480x272_25fps_10bit_420.yuv,5.01E+01,3.48E+01
DFitnessIRIS_480x272_24fps_10bit_420.yuv,7.18E+01,1.85E+01
DFjordsS1Harmonics_480x272_60fps_10bit_420.yuv,9.09E+01,9.00E+00
DFlagShootTUMSVT_480x272_50fps_10bit_420.yuv,9.18E+01,1.04E+01
DFlowerChapelS1IRIS_480x272_24fps_10bit_420.yuv,1.06E+02,1.60E+01
DFlowerChapelS2IRIS_480x272_24fps_10bit_420.yuv,1.00E+02,1.04E+01
DFlyingCountrysideDareful_480x272_29fps_10bit_420.yuv,8.18E+01,1.55E+01
DFlyingMountainsDareful_480x272_29fps_10bit_420.yuv,7.11E+01,1.24E+01
DFlyingThroughLAStreetVidevo_480x272_23fps_10bit_420.yuv,9.07E+01,6.40E+00
DFungusZoomBVITexture_480x272_120fps_10bit_420.yuv,7.53E+01,2.57E+00
DGrassBVITexture_480x272_120fps_10bit_420.yuv,8.84E+01,2.23E+00
DGrazTowerIRIS_480x272_24fps_10bit_420.yuv,1.01E+02,1.86E+01
DHamsterBVIHFR_480x272_120fps_10bit_420.yuv,1.31E+02,1.85E+01
DHarleyDavidsonIRIS_480x272_24fps_10bit_420.yuv,1.34E+02,2.57E+01
DHongKongIslandVidevo_480x272_25fps_10bit_420.yuv,7.93E+01,1.69E+01
DHongKongMarket1Videvo_480x272_25fps_10bit_420.yuv,7.59E+01,1.44E+01
DHongKongMarket2Videvo_480x272_25fps_10bit_420.yuv,9.90E+01,2.11E+01
DHongKongMarket3S1Videvo_480x272_25fps_10bit_420.yuv,8.38E+01,1.92E+01
DHongKongMarket3S2Videvo_480x272_25fps_10bit_420.yuv,8.54E+01,2.45E+01
DHongKongMarket4S1Videvo_480x272_25fps_10bit_420.yuv,9.19E+01,1.92E+01
DHongKongMarket4S2Videvo_480x272_25fps_10bit_420.yuv,9.29E+01,2.46E+01
DHongKongS1Harmonics_480x272_60fps_10bit_420.yuv,8.40E+01,3.85E+00
DHongKongS2Harmonics_480x272_60fps_10bit_420.yuv,8.66E+01,9.24E+00
DHongKongS3Harmonics_480x272_60fps_10bit_420.yuv,1.08E+02,8.24E+00
DHorseDrawnCarriagesVidevo_480x272_50fps_10bit_420.yuv,7.02E+01,1.27E+01
DHorseStaringS1Videvo_480x272_50fps_10bit_420.yuv,8.15E+01,2.39E+01
DHorseStaringS2Videvo_480x272_50fps_10bit_420.yuv,8.03E+01,1.31E+01
DJockeyHarmonics_480x272_120fps_10bit_420.yuv,1.07E+02,2.30E+01
DJoggersS1BVIHFR_480x272_120fps_10bit_420.yuv,8.83E+01,2.71E+01
DJoggersS2BVIHFR_480x272_120fps_10bit_420.yuv,9.19E+01,2.31E+01
DKartingIRIS_480x272_24fps_10bit_420.yuv,1.06E+02,4.69E+01
DKoraDrumsVidevo_480x272_25fps_10bit_420.yuv,1.05E+02,3.22E+01
DLakeYonseiUniversity_480x272_30fps_10bit_420.yuv,7.69E+01,8.86E+00
DLampLeavesBVITexture_480x272_120fps_10bit_420.yuv,1.42E+02,1.14E+01
DLaundryHangingOverHongKongVidevo_480x272_25fps_10bit_420.yuv,1.17E+02,2.36E+01
DLeaves1BVITexture_480x272_120fps_10bit_420.yuv,1.29E+02,4.26E+00
DLeaves3BVITexture_480x272_120fps_10bit_420.yuv,1.06E+02,3.31E+00
DLowLevelShotAlongHongKongVidevo_480x272_25fps_10bit_420.yuv,8.04E+01,9.04E+00
DLungshanTempleS1Videvo_480x272_50fps_10bit_420.yuv,7.32E+01,1.20E+01
DLungshanTempleS2Videvo_480x272_50fps_10bit_420.yuv,8.73E+01,1.45E+01
DManMoTempleVidevo_480x272_25fps_10bit_420.yuv,5.81E+01,1.44E+01
DManStandinginProduceTruckVidevo_480x272_25fps_10bit_420.yuv,8.41E+01,2.02E+01
DManWalkingThroughBangkokVidevo_480x272_25fps_10bit_420.yuv,7.52E+01,2.89E+00
DMaplesS1YonseiUniversity_480x272_30fps_10bit_420.yuv,1.62E+02,4.08E+01
DMaplesS2YonseiUniversity_480x272_30fps_10bit_420.yuv,1.44E+02,4.49E+01
